State ,"All Ages, 2012","All Ages, 2014","Ages 0-20, 2012","Ages 0-20, 2014","Ages 21-34, 2012","Ages 21-34, 2014","Ages 35+, 2012","Ages 35+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014"
Connecticut,2.4,2.7,,,5.9,6.1,2.1,2.5,3.7,4.6,1.1,
Kentucky,4,3.9,1.8,2,7.2,7.8,3.7,3.4,6.5,6.5,1.5,1.3
South Dakota,5.7,5.6,,,,,,6.2,7.4,8.7,,
Oklahoma,5.6,4,,,10.5,7.4,5.8,3.9,9.3,6,1.9,2.1
West Virginia,5.6,4.7,,,12.9,10,4.4,4,9.3,7.1,,
Virginia,2.5,2.5,1.2,1.2,4.5,5.1,2.6,2.3,4.1,3.9,0.9,1.2
Iowa,3.2,3,,,5.9,4.6,2.9,3.4,5.1,4.8,,
Louisiana,5.2,5.4,2.8,1.8,8.6,9.4,5.1,5.7,8.3,9.1,2.4,1.9
Tennessee,4.6,4.1,1.6,,8,8.2,4.9,4.1,7.5,6.8,1.8,1.5
Missouri,4.8,3.4,1.9,,9.5,6.9,4.4,3.2,7.8,5.6,1.8,1.3
Georgia,3,2.7,1,0.8,5.8,5.2,3.1,2.9,4.9,4.7,1.2,0.9
Texas,4.9,5.4,2.1,2.3,10,10,4.7,5.3,7.6,8.1,2.4,2.7
Maine,3.8,3.3,,,,,2.8,3.1,6.6,5.1,,
Mississippi,6.1,6,2.6,2.8,12,10.8,5.7,5.8,9.8,9.4,2.7,2.8
Colorado,2.5,3,,1.7,5.6,5.6,2,2.6,3.9,4.6,1.1,1.3
Alabama,5.5,5.5,2.7,2.1,10.3,10,5,5.5,8.4,8.6,2.9,2.6
Maryland,2.7,2.2,1.6,,5.8,5.4,2.2,1.8,4.1,3.5,1.4,0.9
California,2,2.2,0.9,1,4.5,4.6,1.8,2,3.2,3.4,1,1.1
Idaho,3.6,3.3,,,8.7,,2.7,3,5.8,4.8,,
Vermont,3.4,,,,,,,,,,,
North Dakota,11.3,7.2,,,15.3,15.2,12,6.1,17.4,10.7,,
Wisconsin,3.6,2.9,1.6,,6.5,7.5,3.5,2.3,5.6,4.8,1.6,1.2
Oregon,2.2,2.5,,,5.2,4.2,1.8,2.6,3.1,3.7,1.3,1.4
Hawaii,3.8,2.2,,,,,3.2,,5.7,3.6,,
Pennsylvania,3.3,2.7,1.4,0.7,7.2,5.5,2.8,2.7,5.4,4.4,1.3,1.1
Arizona,3.6,3,1.6,,6.9,5.5,3.3,3.1,5.4,4.5,1.7,1.5
Washington,2.1,1.9,,,4,3.4,2,1.9,3.6,2.9,0.7,0.9
United States,3.3,3.1,1.3,1.2,6.7,6.2,3.1,3,5.2,4.9,1.5,1.4
Alaska,,2.8,,,,,,,,,,
New York,1.7,1.6,0.6,0.7,3.3,3,1.7,1.5,2.7,2.4,0.8,0.8
Illinois,2.5,2.4,0.7,0.7,6,5.5,2.1,2.2,4,3.7,1,1.3
South Carolina,7.6,5.8,2.8,2,14.2,12.4,7.6,5.3,12.3,9,3.2,2.9
Indiana,3.6,3.2,1.2,,7.2,6.3,3.5,3.2,6,5.1,1.3,1.3
Utah,1.2,2,,,,,1.9,2.3,1.7,3,,
Nebraska,4,3.3,,,6.5,7,3.5,3,6.4,5,,
Massachusetts,1.8,1.9,,,3.3,4,1.7,1.8,2.7,3.1,0.9,0.9
Montana,9.4,7.3,,,21.4,15.4,7.2,6.9,14.9,10.2,4,4.3
New Mexico,4.8,5.7,,,9.1,11.2,4.5,5.1,6.9,8.6,2.9,2.8
New Jersey,1.8,1.8,,,4.6,3.6,1.4,1.7,2.9,2.9,0.9,0.8
Wyoming,7.1,8.2,,,17.3,,,8.1,11.3,13.1,,
North Carolina,4.2,3.8,1.7,1.4,8,7.7,4,3.6,6.8,6.3,1.7,1.5
Ohio,3.5,2.7,1.2,0.8,6.8,5.6,3.3,2.6,5.5,4.2,1.6,1.3
Delaware,3.8,5.2,,,,11.7,4,4.6,6.6,7.4,,
Kansas,3.4,3.6,2.3,,6,7.4,3,3.3,6,5.8,,1.4
Florida,3.7,3.5,1.2,1.2,8,7.4,3.3,3.1,5.7,5.4,1.7,1.7
New Hampshire,2.4,2.4,,,,,2.9,,4.1,3.2,,
Minnesota,2.1,1.9,,,3.7,3.5,2.2,2.1,3.2,3,1.2,0.9
Arkansas,5.1,4.6,,,10.5,6.3,4.3,5.4,8.1,7.2,2.2,2.2
Michigan,2.7,2.2,1.1,1,6.8,5.1,2,1.8,4.3,3.3,1.2,1.1
Rhode Island,2.3,,,,,,,,,,,
Nevada,2.8,3.3,,,4.6,6.4,3.2,2.7,4.2,4.9,1.4,1.7
